Name,RA,DEC,HostName,Obj. Type
ZTF23aaxufrf,72.1431179,0.24674039994064856,,
ZTF23aaxldkr,34.3005885,1.5989955078642737,,
ZTF23abaaaph,296.1124120005037,-16.78076815779066,,
ZTF23abamchj,336.2037361821502,48.17938251323365,,
ZTF23abcvams,15.34150984647488,84.04422490221205,,
ZTF23abgbwok,336.5196818148475,50.66786513552897,,
ZTF23abceaws,280.4230612963152,-7.159494890168489,,
ZTF23abdhlpg,21.312030836222277,25.872661962750556,,
ZTF23abavrya,16.754696128353157,55.66762612444233,,
ZTF23abgfwhj,312.8952523,-3.486762718864,,
ZTF23abbcdlp,307.8027033934279,1.4235513057913494,,
ZTF23abhafym,78.31528354313605,6.143308645288954,,
ZTF23abedgfr,65.18356198519537,-12.180317586122925,,
ZTF23abgltid,55.834614027094034,-17.702672889995156,,
ZTF23aazyntd,82.5365244687373,2.2009654990720406,,
